2414 allés au                      ils sont allés au zoo pour
2415 sont allés                    et lola sont allés au
2415 allés au                      lola sont allés au zoo
2422 lions oui                      des lions oui .
2428 non y                          non y a pas d' images
2434 pas une                        c' est pas une peluche
2442 puis on                        puis on regarde un livre comme
2445 est hier                       ah c' est hier , hein
2448 est avec                       il est avec son papa .
2453 fait un                        ils ont fait un grand tas
2453 tas avec                       un grand tas avec la
2454 et ils                         et ils dorment comme ça .
2457 puis elle                      puis elle fond .
2458 bientôt y                     fond p(u)is bientôt y a
2458 et il                          de glace et il est
2460 vagues hein                    des grosses vagues hein .
2461 aperçoit une                  tonneau il aperçoit une #
2462 mais il                        mais il fait chaud là .
2468 ouais un                       ouais un hippopotame .
2469 dit il                         peur , dit il à
2474 est un                         c' est un ours polaire .
2477 images et                      plein d' images et tout
2478 est un                         plume c' est un ours polaire
2479 et il                          tout blanc et il vit
2487 aider à                       va t' aider à rentrer
2489 rencontrent un                 ils rencontrent un # .
2493 maintenant il                  maintenant il se repose et il
2493 et il                          se repose et il attend
2495 pas aller                      il peut pas aller vite
2497 alors il                       alors il lui dit je vais
2498 est une                        orque c' est une baleine .
2499 et orque                       et orque il va aider plume
2502 et i(l)                        et i(l) fait un long long
2502 fait un                        et i(l) fait un long long
2503 dit au                         et dit au revoir l' hippopotame
2504 et il                          et il retourne chez lui .
2505 fait un                        i(l) fait un long voyage très
2506 coup on                        d' un coup on voit
2513 et elle                        et elle repart tu vois .
2515 raconter à                    plume va raconter à son
2522 maman et                       maman et marie ?
2568 rien alors                     j(e) fais rien alors .
2579 maison alors                   fait deux maison alors .
2580 lit avec                       fasses au lit avec les
2613 est un                         ça c' est un grand immeuble
2621 alors attends                  ben , alors attends !
2624 non alors                      ben , non alors .
2666 met où                        on le met où celui là
2671 et on                          et on va le mettre où
2672 est où                        il est où ?
2686 es un                          t' es un peu grande marie
2689 est un                         c' est un bout de la
2691 est un                         , elle est un peu
2709 pas où                        je vois pas où il
2726 vas être                      tu vas être toute mouillée .
2734 pas un                         c' est pas un pantalon
2735 est un                         c' est un pull .
2736 est un                         aussi c' est un pull
2739 chaussettes aussi              mais les chaussettes aussi tu
2741 mais il                        non , mais il est ,
2748 jouer avec                     tu veux jouer avec la maison
2752 aider à                       vais t' aider à les
2754 aider à                       vais t' aider à les
2756 est en                         elle est en train de se
2759 non elle                       non elle est encore en train
2759 est encore                     non elle est encore en train
2771 est un                         c' est un petit bonhomme ça
2774 est un                         ça c' est un nid avec
2774 nid avec                       est un nid avec des
2776 pas enlever                    on peut pas enlever .
2777 peut enlever                   on peut enlever ça , ça
2779 fait un                        t' as fait un bobo là
2780 es arrivé                     qui t' es arrivé ?
2784 fait un                        tu as fait un bobo
2786 est aujourd'hui                c' est aujourd'hui que tu as
2789 non on                         non on va rien entendre non
2789 rien entendre                  on va rien entendre non
2790 après on                      après on entendra peut-être marie .
2812 veux on                        si tu veux on peut jouer
2812 jouer avec                     on peut jouer avec ces
2812 cartes oui                     avec ces cartes oui .
2825 est égal                      , c' est égal .
2826 donnes une                     m' en donnes une ?
2836 pas être                      ça va pas être facile .
2840 petit hérisson                a un petit hérisson avec
2840 hérisson avec                 un petit hérisson avec un
2879 p(u)is une                     et p(u)is une autre encore .
2882 pas encore                     n' a pas encore retrouvé
2893 balais à                      un petit balais à poussière
2898 puis on                        là et puis on le
