1      n' monte                      nm§t                         non on n' monte pas
40288  n' peut                       np2                          ca i' n' peut pas
40288  n' peut                       np2                          d i' n' peut pas
40288  un avion                      1 na-vj§                      sais tu un avion comme
40289  l' air                        lER                          partir dans l' air .
40290  pour aller                    pu Ra-le                      ce chemin~la pour aller *
40291  n' sait                       nsE                          on n' sait pas les bouger
40298  d' aut'                       d#                           encore quoi d' aut' que
40299  qu' est-ce                    kEs                          qu' est-ce que ca faisait encore
40302  l' eau                        lo                           dans l' eau ?
40303  c' etait                      se-tE                        c' etait dans l' eau les
40303  l' eau                        lo                           etait dans l' eau les
40304  qu' c'                        ks'                          je croyais qu' c' etait dans
40304  c' etait                      kse-tE                       croyais qu' c' etait dans
40304  l' ciel                       lsjEl                        etait dans l' ciel .
40305  l' ciel                       lsjEl                        pas dans l' ciel ?
40306  c' etait                      se-tE                        c' etait pas dans l' ciel
40306  l' ciel                       lsjEl                        pas dans l' ciel les
40307  qu' est-ce                    kEs                          qu' est-ce que ca faisait dans
40307  l' ciel                       lsjEl                        faisait dans l' ciel ?
40310  qu' est-ce                    kEs                          les fireworks qu' est-ce que
40310  l' ciel                       lsjEl                        faisait dans l' ciel ?
40311  l' ciel                       lsjEl                        lumieres dans l' ciel ?
40315  c' que                        sk2                          ou c' que c' etait ?
40315  c' etait                      se-tE                        c' que c' etait ?
40317  c' comme                      skOm                         c' comme cet avion~la i' va
40318  roule avec                    Ru la-vEk                     i' roule avec ses roues .
40319  qu' un                        k1n                          sais bien qu' un avion
40319  un avion                      k1 na-vj§                     bien qu' un avion ca
40321  c' est                        se                           c' est pas un vrai .
40322  vrais avions                  vRE za-vj§                    sur les vrais avions .
40323  c' est                        se                           c' est un vrai bateau ca
40324  c' est                        se                           est-ce que c' est un vrai
40325  c' est                        se                           est-ce que c' est un vrai
40329  l' eau                        lo                           est sur l' eau ?
40330  l' eau                        lo                           est dans l' eau ?
40331  l' eau                        lo                           dedans dans l' eau ?
40333  c' est                        se                           c' est un vrai bateau ca
40336  c' est                        se                           c' est bien plus gros un
40337  c' est                        se                           c' est gros un vrai bateau
40338  t' as                         ta                           t' as ete d' ja dans
40338  d' ja                         d#                           as ete d' ja dans
40338  dans un                       d@ z1                         d' ja dans un bateau
40339  t' as                         ta                           t' as ete devant un vrai
40339  dans un                       d@ z1                         un vrai dans un vrai
40341  c' est                        se                           c' est gros hein un vrai
40343  c' est                        se                           ca c' est un vrai ?
40345  c' est                        se                           c' est un jouet .
40346  c' est                        se                           c' est des avions qui font
40346  des avions                    de za-vj§                     c' est des avions qui font
40348  c' est                        se                           c' est un bateau militaire .
40349  t' as                         ta                           t' as l les m ce
40349  les m                         le zEm                        as l les m ce
40350  les avions                    le za-vj§                     s dans les avions .
40354  encore un                     @-kO R1                       la et encore un d'
40354  d' l'                         dl                           encore un d' l' aut'
40354  cote aussi                    kO to-si                      l' aut' cote aussi .
40355  deux a                        d2 za                         et encore deux a l' arriere
40355  l' arriere                    la-RjER                      deux a l' arriere aussi
40355  arriere aussi                 la-RjE Ro-si                  a l' arriere aussi .
40356  en a                          @ na                          y en a encore .
40362  c' est                        se                           c' est les moteurs .
40363  c' est                        se                           et alors c' est la fumee
40364  c' est                        se                           et ca c' est un p'
40364  pour aller                    pu Ra-le                      pour toi pour aller a
40364  l' eau                        lo                           aller a l' eau .
40365  l' moteur                     lmo-t9R                      y a l' moteur qui
40367  m m                           E mEm                         m m .
40369  peuvent aller                 p9 va-le                      oui i' peuvent aller vite .
40371  qu' i'                        ki                           oh si qu' i' va dans
40371  l' eau                        lo                           va dans l' eau ce
40373  c' l                          sEl                          c' l le meme que ca
40374  c' ui~la                      s#                           c' ui~la non .
40375  c' ui~la                      s#                           c' ui~la c' est un jouet
40375  c' est                        se                           c' ui~la c' est un jouet
40377  c' est                        se                           c' est un jouet c' ui~la
40377  c' ui~la                      s#                           un jouet c' ui~la .
40379  n' ont                        n§                           bateaux i' n' ont pas
40380  c' ui~la                      s#                           c' ui~la c' ui~la ?
40380  c' ui~la                      s#                           c' ui~la c' ui~la ?
40381  c' ui~la                      s#                           meme que c' ui~la ?
40382  c' ui~la                      s#                           vrai comme c' ui~la .
40385  c' est                        se                           c' est un morceau de celui~la
40386  c' '                          s#                           c' ' t un morceau de
40387  c' est                        se                           c' est ca .
40389  c' sont                       ss§                          c' sont des petits bateaux ?
40391  qu' est-ce                    kEs                          qu' est-ce qu' on a fait
40391  qu' on                        k§n                          qu' est-ce qu' on a fait
40391  on a                          k§ na                         est-ce qu' on a fait
40392  on a                          § na                          on a mis une table et
40392  table et                      ta ble                        mis une table et monte
40394  c' est                        se                           donald moores c' est le papa
40395  c' est                        se                           c' est c' est marc et
40395  c' est                        se                           c' est c' est marc et
40395  marc et                       maR ke                        c' est marc et eric
40396  marc et                       maR ke                        papa de marc et d'
40396  d' eric                       d#                           marc et d' eric qu'
40396  qu' est-ce                    kEs                          d' eric qu' est-ce qu'
40396  qu' il                        kil                          qu' est-ce qu' il a
40396  il a                          ki la                         est-ce qu' il a fait
40397  c' est                        se                           c' est pas le papa de
40397  marc et                       maR ke                        papa de marc et eric
40402  j' ai                         ZE                           et moi j' ai aide oui
40402  aide oui                      E dwi                         j' ai aide oui .
40404  peuvent aider                 p9 ve-de                      si i' peuvent aider parfois
40404  qu' i'                        ki                           bien ce qu' i' faut
40406  n' sais                       nsE                          oh je n' sais pas toi
40407  t' as                         ta                           toi t' as ete dans la
40409  il a                          i la                          ah il a dit oui .
40413  l' eric                       l#                           est ce l' eric plus
40415  c' est                        se                           c' est le grand garcon .
40418  c' est                        se                           mais non c' est pas eric
40419  c' est                        se                           c' est derek .
40423  c' est                        se                           eric c' est c' est le
40423  c' est                        se                           c' est c' est le
40423  c' est                        se                           bien eric c' est ton
40423  ton ami                       t§ na-mi                      c' est ton ami eric
40424  c' qu'                        sk                           ou c' qu' il habite eric
40424  qu' il                        skil                         ou c' qu' il habite eric
40424  il habite                     ski la-bit                    c' qu' il habite eric
40430  n' habite                     na-bit                       on n' habite pas tout pres
40430  nous autres                   nu zotR                       chez eric nous autres .
40431  il est                        i le                          il est tout pres de not'
40434  l' eau                        lo                           vont dans l' eau .
40436  l' mets                       lmE                          si tu l' mets dans
40436  l' eau                        lo                           mets dans l' eau .
40437  l' mets                       lmE                          si tu l' mets dans
40437  l' eau                        lo                           mets dans l' eau .
40438  l' eau                        lo                           de l' eau l' eau .
40438  l' eau                        lo                           l' eau l' eau .
40440  n' peut                       np2                          non on n' peut pas
40441  t' es                         tE                           t' es bien amuse a la
40441  amuse a                       a-my za                       es bien amuse a la
40443  t' as                         ta                           t' as saute .
40445  t' as                         ta                           t' as saute ou ?
40445  saute ou                      so tu                         t' as saute ou ?
40449  piscines a                    pi-si na                      a deux piscines a swimming
40452  t' as                         ta                           t' as saute dans la grande
40458  t' as                         ta                           la grande t' as saute
40460  qu' est-ce                    kEs                          qu' est-ce que maman n' mettait
40460  n' mettait                    nmE-tE                       que maman n' mettait pas
40466  qu' est-ce                    kEs                          qu' est-ce qu' on doit faire
40466  qu' on                        k§                           qu' est-ce qu' on doit faire
40467  pour avancer                  pu Ra-v@-se                   pour avancer ?
40468  kick avec                     ki ka-vEk                     kick avec quoi ?
40469  n' suffit                     nsy-fi                       mais ca n' suffit pas
40470  c' est                        se                           c' est pas assez .
40471  qu' est-ce                    kEs                          qu' est-ce qu' i' faut encore
40471  qu' i'                        ki                           qu' est-ce qu' i' faut encore
40472  kick avec                     ki ka-vEk                     kick avec ses pieds .
40473  l' eau                        lo                           faut tirer l' eau avec
40474  l' eau                        lo                           tirer l' eau hein .
40475  l' eau                        lo                           vas chercher l' eau et la
40476  n' avance                     na-v@s                       sinon on n' avance pas .
40479  j' ai                         ZE                           j' ai vu que tu kickais
40480  piscine oui                   pi-si nwi                     la petite piscine oui .
40483  t' es                         tE                           ouille t' es fatigue ?
40487  l' retourner                  lR°-tuR-ne                   te l' retourner ?
40488  boites a                      bwa ta                        met' les boites a terre
40493  t' as                         ta                           oh t' as mis la lev'
40493  c' est                        se                           ton bateau c' est ca
40494  c' n'                         sn                           c' n' est pas maman qui
40494  n' est                        sne                          c' n' est pas maman qui
40494  t' a                          ta                           maman qui t' a fait
40495  c' est                        se                           c' est toi .
40499  faire un                      fE R1                         faire un gros dodo parce que
40499  l' ver                        lvER                         doit se l' ver tot
40500  qu' on                        k§                           ah parce qu' on doit aller
40500  dans un                       d@ z1                         doit aller dans un bureau
40506  alors i'                      a-lO Ri                       ben alors i' faut et' gentil
40507  s' ras                        sRa                          tu s' ras gentil oui ?
40510  t' asseoir                    ta-swaR                      faut t' asseoir a cote d'
40510  asseoir a                     ta-swa Ra                     faut t' asseoir a cote d'
40510  d' papa                       dpa-pa                       a cote d' papa et
40512  l' ver                        lvER                         doit se l' ver tot
40513  quand on                      k@ t§                         demain matin quand on s'
40513  s' leve                       s#                           quand on s' leve .
40514  s' habiller                   sa-bi-je                     s' habiller tout d' suite pour
40514  d' suite                      ds8it                        habiller tout d' suite pour
40517  faire un                      fE R1                         tu vas faire un gros dodo
40518  t' as                         ta                           allez t' as vu ?
40522  l' enregistreur               l@R-Zis-tR9R                 vas fermer l' enregistreur ?
40523  faire un                      fE R1                         tu vas faire un gros dodo
40526  d' la                         dla                          tout pres d' la banque .
40528  elle a                        E la                          bien maribelle elle a deux
40529  s' appellent                  sa-pEl                       comment elles s' appellent les p'
40537  c' est                        se                           crois que c' est la
40538  qu' est-ce                    kEs                          qu' est-ce que t' as rapporte
40538  t' as                         ta                           est-ce que t' as rapporte
40538  rapporte a                    Ra-pOR ta                     t' as rapporte a annie
40539  t' rappelles                  tRa-pEl                      tu t' rappelles bien ?
40540  t' as                         ta                           ah t' as apporte un cadeau
40540  apporte un                    a-pOR t1                      t' as apporte un cadeau
40541  c' est                        se                           c' est bien cheri .
40542  qu' est-ce                    kEs                          qu' est-ce que tu dis ?
40543  hier ils                      jE Rilz                       et maman hier ils ont
40543  ils ont                       Ril z§                        maman hier ils ont fait
40544  l' velo                       l#                           pour demonter l' velo pour pouvoir
40544  l' envoyer                    l@-vwa-je                    pour pouvoir l' envoyer chez
40548  n' saurait                    nso-RE                       on n' saurait plus maint' nant
40549  l' envoyer                    l@-vwa-je                    on va l' envoyer chez mammy
40551  n' veux                       nv2                          tu n' veux pas ton velo
40554  stephane attention            ste-fa na-t@-sj§              attention stephane attention .
40557  c' est                        se                           attention c' est sale hein .
40558  n' veux                       nv2                          toi tu n' veux pas rouler
40560  qu' i'                        ki                           mais parce qu' i' va aller
40561  n' veux                       nv2                          tu n' veux pas ?
40563  l' velo                       l#                           ras bien l' velo de
40563  d' aut'                       d#                           de quelqu'un d' aut' rouler
40564  n' crois                      nkRwa                        tu n' crois pas ?
40567  n' as                         na                           tu n' as pas un aut'
40567  un un                         1 n1                          ras bien un un .
40568  l' roul'                      l#                           tu l' roul' ras sur le
40569  d' aut'                       d#                           de quelqu'un d' aut' tu
40570  qu' est-ce                    kEs                          qu' est-ce qu' y a cheri
40570  qu' y                         ki                           qu' est-ce qu' y a cheri
40572  qu' est-ce                    kEs                          qu' est-ce que tu veux ?
40575  qu' est-ce                    kEs                          qu' est-ce que tu veux ?
40576  qu' est-ce                    kEs                          qu' est-ce qu' y a mon
40576  qu' y                         ki                           qu' est-ce qu' y a mon
40580  l' enregistreur               l@R-Zis-tR9R                 ah sur l' enregistreur .
40581  c' etait                      se-tE                        oui mais c' etait toi le
40582  n' te                         nt2                          tu n' te r' connais pas
40584  qu' c'                        ks'                          savais pas qu' c' est toi
40584  c' est                        kse                          pas qu' c' est toi
40589  n' te                         nt2                          sinon mammy n' te comprendra
40590  qu' elle                      kEl                          ou est-ce qu' elle est
40590  elle est                      kE le                         est-ce qu' elle est mammy
40592  qu' elle                      kEl                          ou est-ce qu' elle est mammy
40592  elle est                      kE le                         est-ce qu' elle est mammy
40594  n' est                        ne                           elle n' est pas dans la
40595  qu' elle                      kEl                          ou est-ce qu' elle est ?
40595  elle est                      kE le                         est-ce qu' elle est ?
40597  elle est                      E le                          elle est dans sa maison oui
40598  c' est                        se                           c' est pas un gros building
40598  qu' elle                      kEl                          gros building qu' elle a
40598  elle a                        kE la                         building qu' elle a mammy
40599  c' est                        se                           c' est une maison .
40600  elle est                      E le                          elle est dans sa maison mammy
40601  d' mammy                      dma-mi                       la maison d' mammy ?
40602  c' est                        se                           c' est en bel .
40604  qu' on                        k§                           comment est-ce qu' on va la
40605  qu' on                        k§                           comment est-ce qu' on va la
40606  l' taxi                       ltak-si                      apres l' taxi qu' est-ce qu'
40606  qu' est-ce                    kEs                          l' taxi qu' est-ce qu'
40606  qu' on                        k§                           qu' est-ce qu' on prend
40607  n' va                         nva                          non on n' va pas
40607  avec un                       a-vE k1                       va pas avec un taxi
40608  avec un                       a-vE k1                       avec un quoi ?
40609  avec un                       a-vE k1n                      avec un avion .
40609  un avion                      k1 na-vj§                     avec un avion .
40610  m' semblait                   ms@-blE                      i' m' semblait bien .
40611  pour aller                    pu Ra-le                      pour aller chez mammy .
40612  c' est                        se                           c' est loin chez mammy ?
40614  t' enregistre                 t@R-ZistR                    on t' enregistre .
40616  t' enregistrer                t@R-Zis-tRe                  pour pouvoir t' enregistrer .
40619  qu' i'                        ki                           comment est-ce qu' i' fait
40620  c' est                        se                           ici c' est a saint paul
40621  c' est                        se                           c' est la maison de qui
40624  qu' est-ce                    kEs                          comment est-ce qu' est-ce qu'
40624  qu' y                         ki                           qu' est-ce qu' y a
40624  dehors hors                   d°-O ROR                      y a dehors hors de
40625  qu' y                         ki                           est-ce qu' y a beaucoup de
40626  qu' i'                        ki                           est-ce qu' i' fait tres chaud
40631  c' est                        se                           c' est le soir aujourd'hui .
40631  soir aujourd'hui              swa Ro-ZuR-d8i                est le soir aujourd'hui .
40633  qu' est-ce                    kEs                          qu' est-ce qu' y a dehors
40633  qu' y                         ki                           qu' est-ce qu' y a dehors
40637  qu' est-ce                    kEs                          et qu' est-ce que tu fais
40638  d' la                         dla                          a pas d' la neige
40639  qu' est-ce                    kEs                          qu' est-ce que tu fais toi
40640  d' la                         dla                          am' ne d' la neige
40640  d' la                         dla                          tout pres d' la maison
40641  qu' est-ce                    kEs                          mais qu' est-ce que tu fais
40641  d' autre                      dot                          tu fais d' autre quand
40641  n' enleves                    n#                           quand tu n' enleves pas
40643  qu' est-ce                    kEs                          la colline qu' est-ce que
40643  hier avec                     jE Ra-vEk                     tu faisais hier avec jeff
40654  qu' il                        kil                          ou est-ce qu' il habite jeffer
40654  il habite                     ki la-bit                     est-ce qu' il habite jeffer
40656  il habite                     i la-bit                      il habite ou jeffer ?
40656  habite ou                     la-bi tu                      il habite ou jeffer ?
40659  il habite                     i la-bit                      il habite a cote ?
40659  habite a                      la-bi ta                      il habite a cote ?
40660  il a                          i la                          et il a des p' tits
40662  c' est                        se                           mammy qui c' est jeff
40664  l' ecole                      le-kOl                       vas a l' ecole aussi
40664  ecole aussi                   le-kO lo-si                   a l' ecole aussi ?
40666  l' ecole                      le-kOl                       vas a l' ecole ?
40667  t' amuses                     ta-myz                       tu t' amuses bien .
40668  qu' est-ce                    kEs                          qu' est-ce que tu fais a
40668  l' ecole                      le-kOl                       fais a l' ecole ?
40669  manges a                      m@ Za                         et tu manges a l'
40669  l' ecole                      le-kOl                       manges a l' ecole .
40670  une m                         y nEm                         tu as une m une
40670  m une                         nE myn                        as une m une maitresse
40670  l' ecole                      le-kOl                       maitresse a l' ecole ?
40671  l' ecole                      le-kOl                       maitresse a l' ecole ?
40672  c' est                        se                           c' est pas toi la maitresse
40674  c' est                        se                           la maitresse c' est jackie
40675  elle est                      E le                          elle est gentille jackie ?
40677  c' est                        se                           c' est un cadeau pour moi
40678  n' peut                       np2                          oh on n' peut pas l'
40678  l' ouvrir                     lu-vRiR                      peut pas l' ouvrir .
40679  c' est                        se                           c' est pas pour aujourd'hui .
40679  pour aujourd'hui              pu Ro-ZuR-d8i                 est pas pour aujourd'hui .
40680  n' sais                       nsE                          ah je n' sais pas .
40681  c' est                        se                           c' est un cadeau pour moi
40682  c' est                        se                           c' est pour maman ?
40683  c' est                        se                           ah bon c' est pour maman
40684  c' est                        se                           m c' est pour quoi de
40686  c' est                        se                           c' est pour la birthday de
40687  c' est                        se                           c' est quand la birthday de
40688  c' n'                         sn                           mais celui~la c' n' est
40688  n' est                        sne                          celui~la c' n' est pas
40689  c' est                        se                           c' est pour maman .
40690  quand est                     k@ te                         quand est ce la birthday de
40691  on a                          § na                          on a les memes cadeaux ?
40694  en a                          @ na                          y en a un pour maman
40695  n' sont                       ns§                          ce n' sont pas les memes
40697  c' est                        se                           mais c' est pas pour aujourd'hui
40697  pour aujourd'hui              pu Ro-ZuR-d8i                 est pas pour aujourd'hui ca
40702  n' as                         na                           non tu n' as pas tous
40704  c' est                        se                           oh et c' est c' est
40704  c' est                        se                           c' est c' est pour
40705  l' happy                      l#                           pour l' happy birthday de maman
40706  avoir un                      a-vwa R1                      elle va avoir un gateau avec
40708  c' est                        se                           c' est pour maman .
40709  n' dois                       ndwa                         tu n' dois pas toucher .
40711  encore un                     @-kO R1                       encore un aut' petit garcon et
40714  t' as                         ta                           oh t' as mis ta signature
40716  c' est                        se                           c' est pas aujourd'hui sa birthday
40717  c' est                        se                           c' est demain la birthday de
40719  c' est                        se                           c' est celle de maman .
40722  c' est                        se                           demain c' est la birthday de
40724  c' est                        se                           mais c' est pas stephane .
40725  c' est                        se                           c' est pas la birthday de
40726  c' est                        se                           c' est celle de maman .
40727  c' est                        se                           c' est pas ta birthday .
40730  t' auras                      to-Ra                        t' auras santa claus mais pas
40734  boule oui                     bu lwi                        p' tite boule oui .
40736  d' sus                        dsys                         celle~la au d' sus quand on
40736  quand on                      k@ t§n                        d' sus quand on a
40736  on a                          t§ na                         sus quand on a enl'
40736  d' sus                        dsys                         celle~la au d' sus .
40737  faire un                      fE R1                         va encore faire un dodo
40737  n' a                          na                           apres on n' a plus
40737  boules a                      bu la                         p' tites boules a enl'
40737  quand on                      k@ t§                         que le quand on se
40737  il aura                       i lo-Ra                       santa claus il aura mis
40742  t' a                          ta                           maman t' a d' ja d'
40742  d' ja                         d#                           t' a d' ja d'
40742  d' mande                      dm@d                         d' ja d' mande trois
40743  des autos                     de zo-to                      va apporter des autos ?
40744  des autos                     de zo-to                      va apporter des autos ?
40745  t' es                         tE                           t' es sur que santa va
40745  des autos                     de zo-to                      va apporter des autos ?
40746  qu' i'                        ki                           mammy est-ce qu' i' va
40747  d' maman                      dma-m@                       reste pres d' maman .
40751  s i'                          E si                          et s i' va pas apporter
40755  ecoute un                     e-ku t1                       oui mais ecoute un peu c'
40755  c' que                        sk2                          un peu c' que maman
40756  livre apres                   li vRa-pRE                    ras ton livre apres .
40758  t' en                         t@n                          t' en as deja un .
40758  en as                         t@ na                         t' en as deja un .
40760  t' as                         ta                           as deman t' as pas
40763  ecoute un                     e-ku t1                       ecoute un peu c' que maman
40763  c' que                        sk2                          un peu c' que maman
40764  ecoute un                     e-ku t1                       dis ecoute un peu c' que
40764  c' que                        sk2                          un peu c' que maman
40765  ecoute un                     e-ku t1                       ecoute un peu c' que maman
40765  c' que                        sk2                          un peu c' que maman
40766  donc une                      d§ kyn                        ou donc une moto ?
40770  c' est                        se                           * c' est un morceau du
40772  t' aurais                     to-RE                        est-ce que t' aurais les
40773  qu' est-ce                    kEs                          qu' est-ce que mammy devrait faire
40773  faire avec                    fE Ra-vEk                     mammy devrait faire avec les
40776  c' est                        se                           c' est pas un p' tit
40777  n' a                          na                           elle n' a pas besoin d'
40777  d' jouets                     dZwE                         pas besoin d' jouets .
40778  c' est                        se                           c' est ca ?
40779  qu' est-ce                    kEs                          oui mais qu' est-ce que tu
40780  qu' est-ce                    kEs                          qu' est-ce que qu' est-ce qu'
40780  qu' est-ce                    kEs                          est-ce que qu' est-ce qu'
40780  qu' elle                      kEl                          qu' est-ce qu' elle f'
40780  il apporte                    i la-pORt                     santa claus il apporte des
40781  qu' est-ce                    kEs                          qu' est-ce que .
40783  qu' on                        k§n                          parce qu' on enregistre .
40783  on enregistre                 k§ n@R-ZistR                  parce qu' on enregistre .
40784  n' veut                       nv2                          mammy n' veut pas entend' la
40787  elle a                        E la                          que mammy elle a pas
40790  qu' est-ce                    kEs                          chez mammy qu' est-ce qu'
40790  qu' i'                        ki                           qu' est-ce qu' i' va
40790  qu' est-ce                    kEs                          va fal qu' est-ce qu'
40790  qu' i'                        ki                           qu' est-ce qu' i' faut
40790  faire avec                    fE Ra-vEk                     i' faut faire avec les
40791  qu' est-ce                    kEs                          qu' est-ce que mammy doit faire
40791  faire avec                    fE Ra-vEk                     mammy doit faire avec les
40793  qu' elle                      kEl                          comment est-ce qu' elle peut te
40795  elle a                        E la                          mais mammy elle a peut
40795  des elle                      de zEl                        peut et' des elle a
40795  elle a                        zE la                         et' des elle a des
40796  elle a                        E la                          elle a donne des sous a
40796  sous a                        su za                         donne des sous a santa
40796  il a                          i la                          santa claus il a apporte
40797  les avoir                     le za-vwaR                    tu vas les avoir donc
40800  l' dire                       ldiR                         vais te l' dire moi
40802  poste et                      pOs te                        a la poste et les
40804  quand ils                     k@ til                        et quand ils arriv' ront on
40804  d' sous                       dsu                          mettra en d' sous du
40809  t' as                         ta                           t' as beaucoup des choses hein
40810  n' as                         na                           tu n' as pas besoin d'
40810  d' carte                      dkaRt                        pas besoin d' carte .
40811  c' est                        se                           c' est pas ton anniversaire .
40811  ton anniversaire              t§ na-ni-vER-sER              est pas ton anniversaire .
40812  on en                         § n@                          oui ben on en mettra une
40814  carte avec                    kaR ta-vEk                    veux une carte avec un
40814  avec un                       ta-vE k1                      une carte avec un p'
40815  t' aimes                      tEm                          oui t' aimes bien les p'
40817  carte avec                    kaR ta-vEk                    cevras une carte avec un
40817  avec un                       ta-vE k1                      une carte avec un p'
40817  s' ra                         sRa                          quand ce s' ra ta
40818  l' enregistreur               l@R-Zis-tR9R                 veux couper l' enregistreur ?
40819  encore un                     @-kO R1                       parl' ra encore un p'
40820  il a                          i la                          il a mis quelque chose ?
40826  c' est                        se                           oh c' est le cadeau que
40827  c' est                        se                           c' est pas pour moi ?
40828  c' est                        se                           non c' est pas pour moi
40829  c' est                        se                           c' est pour stephane .
40831  venir avec                    v°-ni Ra-vEk                  * venir avec une photo .
40831  avec une                      Ra-vE kyn                     * venir avec une photo .
40832  qu' est-ce                    kEs                          oh qu' est-ce que tu vois
40833  des autos                     de zo-to                      des autos ?
40834  l' paquet                     lpa-kE                       et dans l' paquet .
40836  c' est                        se                           c' est une moto .
40837  c' est                        se                           ca c' est quoi ca ?
40838  c' est                        se                           c' est le cadeau de pappy
40840  faire une                     fE Ryn                        on va faire une photo des
40843  d' tes                        dte                          tout pres d' tes cadeaux
40844  c' est                        se                           ca c' est pour faire la
40846  t' as                         ta                           ouille t' as dit merci a
40852  l' fauteuil                   lfo-t9j                      toi dans l' fauteuil tiens
40853  t' as                         ta                           t' as des lampes toi ?
40863  d' abord                      da-bOR                       ah ceux~la d' abord ?
40865  qu' est-ce                    kEs                          oh qu' est-ce que c' est
40865  c' est                        se                           est-ce que c' est ca
40867  demande a                     d°-m@ da                      demande a papa comment on fait
40871  t' aider                      te-de                        maman va t' aider .
40873  c' est                        se                           dieu que c' est gros
40877  t' aider                      te-de                        maman va t' aider * .
40880  n' est                        ne                           i' n' est pas encore fait
40881  l' faire                      lfER                         i' faut l' faire .
40883  l' faire                      lfER                         faut l' faire oui .
40883  faire oui                     lfE Rwi                       faut l' faire oui .
40884  qu' j'                        kZ'                          regarde ce qu' j' ai ici
40884  j' ai                         kZE                          ce qu' j' ai ici
40889  garde un                      gaR d1                        ' garde un peu .
40890  c' est                        se                           c' est pour toi oui mais
40890  c' est                        se                           oui mais c' est a
40891  qu' est-ce                    kEs                          qu' est-ce que c' est donc
40891  c' est                        se                           est-ce que c' est donc
40892  qu' est-ce                    kEs                          qu' est-ce que c' est ?
40892  c' est                        se                           est-ce que c' est ?
40894  qu' est-ce                    kEs                          qu' est-ce que c' est ?
40894  c' est                        se                           est-ce que c' est ?
40895  qu' est-ce                    kEs                          qu' est-ce que c' est ?
40895  c' est                        se                           est-ce que c' est ?
40897  qu' est-ce                    kEs                          stephane qu' est-ce que c' est
40897  c' est                        se                           est-ce que c' est mon
40902  c' est                        se                           c' est toi hein ?
40905  l' ambulance                  l@-by-l@s                    vas faire l' ambulance .
40907  c' est                        se                           quand c' est comme ca on
40908  l' ambulance                  l@-by-l@s                    peut faire l' ambulance en
40908  ambulance en                  l@-by-l@ s@                   faire l' ambulance en tournant
40908  boite oui                     bwa twi                       dans la boite oui ?
40909  qu' est-ce                    kEs                          qu' est-ce qui manque a ton
40909  manque a                      m@ ka                         est-ce qui manque a ton
40909  ton ambulance                 t§ n@-by-l@s                  manque a ton ambulance ?
40910  qu' elle                      kEl                          ou est-ce qu' elle est l'
40910  elle est                      kE le                         est-ce qu' elle est l'
40910  l' ambulance                  l@-by-l@s                    elle est l' ambulance ?
40914  c' est                        se                           ca c' est tres bien .
40919  c' est                        se                           c' est ca .
40921  t' as                         ta                           t' as pris la cabine du
40924  n' est                        ne                           eh * n' est pas bien
40928  qu' il                        kil                          les morceaux qu' il faut
40929  c' est                        se                           c' est pour moi .
40931  c' est                        se                           c' est pour toi cheri ca
40932  c' etait                      se-tE                        c' etait pour toi ?
40933  c' etait                      se-tE                        c' etait pour toi .
40938  l' enregistreur               l@R-Zis-tR9R                 sur l' enregistreur .
40939  l' ambulance                  l@-by-l@s                    l' ambulance ?
40944  c' est                        se                           c' est pour mettre la ca
40945  qu' il                        kil                          crois qu' il est trop grand
40945  il est                        ki le                         crois qu' il est trop grand
40946  il est                        i le                          oui il est trop grand .
40947  il est                        i le                          il est quand meme petit ?
40948  on a                          § na                          on a besoin de ca ?
40952  d' place                      dplas                        a plus d' place pour
40956  sont elles                    s§ tEl                        ou sont elles les portes ?
40957  qu' en                        k@n                          qu' en as tu fait ?
40957  en as                         k@ na                         qu' en as tu fait ?
40960  n' va                         nva                          non on n' va pas ecouter
40961  d' ecouter                    d#                           avant d' ecouter stephane qui parle
