1      n' monte                      nm§t                         non on n' monte pas
723    l' auto                       lo-to                        * dans l' auto ?
732    en a                          @ na                          i' y en a ici des
733    n' sais                       nsE                          je n' sais pas c' que
733    c' que                        sk2                          sais pas c' que papa
733    en a                          @ na                          que papa en a fait
734    n' sont                       ns§                          si i' n' sont pas
734    l' armoire                    laR-mwaR                     pas dans l' armoire .
735    toujours un                   tu-Zu R1                      en voila toujours un .
736    qu' est-ce                    kEs                          eh ben qu' est-ce qu' on
736    qu' on                        k§                           qu' est-ce qu' on dit
741    l' autre                      lot                          l' autre bas oui .
742    n' sais                       nsE                          je n' sais pas ou il
742    il est                        i le                          pas ou il est .
746    t' as                         ta                           t' as laisse l' eau cou
746    l' eau                        lo                           as laisse l' eau cou
749    t' es                         tE                           ben t' es tout mouille .
750    n' es                         nE                           non tu n' es pas mouille
751    n' as                         na                           mais tu n' as pas mis
755    qu' maman                     kma-m@                       i' faudra qu' maman mette du
757    l' mettre                     lmEtR                        i' faut l' mettre maint'
759    qu' maman                     kma-m@                       tu veux qu' maman mette du
762    stephane oui                  ste-fa nwi                    pas stephane oui oui .
763    cirage oui                    si-Ra Zwi                     mettre du cirage oui .
769    c' est                        se                           ah ca c' est mieux c'
769    c' est                        se                           est mieux c' est bien
772    cirage oui                    si-Ra Zwi                     maman du cirage oui sur sur
773    n' donne                      ndOn                         non maman n' donne pas a
773    c' est                        se                           a fafa c' est maman
773    l' cirage                     lsi-RaZ                      qui met l' cirage .
774    l' soulier                    lsu-lje                      pourra frotter l' soulier avec
774    brosse apres                  bRO sa-pRE                    avec la brosse apres pour
774    l' soulier                    lsu-lje                      faire briller l' soulier .
778    cirage apres                  si-Ra Za-pRE                  fafa du cirage apres .
780    l' soulier                    lsu-lje                      faire briller l' soulier maman
781    c' est                        se                           le cirage c' est sale
785    c' est                        se                           le divan c' est sale
786    frotte et                     fRO te                        maman ait frotte et puis
787    grande histoire               gR@ dis-twaR                  ouhlala quelle grande histoire .
788    grande histoire               gR@ dis-twaR                  ouh quelle grande histoire .
789    grande histoire               gR@ dis-twaR                  ouhlalala quelle grande histoire .
791    t' as                         ta                           t' as chaud ?
796    t' mettre                     tmEt                         ben va t' mettre la
799    t' mettre                     tmEt                         va t' mettre la .
803    qu' on                        k§                           par la qu' on frotte .
805    l' autre                      lotR                         l' autre aussi ?
805    autre aussi                   lo tRo-si                     l' autre aussi ?
809    brosse alors                  bRO sa-lOR                    donnes la brosse alors ?
810    donnes a                      dO na                         tu la donnes a maman ?
813    l' aspirateur                 las-pi-Ra-t9R                l' aspirateur ?
815    n' fais                       nfE                          ben je n' fais pas
815    l' aspirateur                 las-pi-Ra-t9R                pas aller l' aspirateur maint'
815    n' est-ce                     nEs                          maint' nant n' est-ce pas
815    c' est                        se                           pas stephane c' est trop
816    il est                        i le                          oui il est dans l' armoire
