4752 plus il                       plyz il
4754 on attendra                   §n a-t@-dRa
4761 chez elle                     Sez El
4764 les enfants                   lez @-f@
4766 les enfants                   lez @-f@
4772 peut être                     p2t EtR
4780 nous avait                    nuz a-vE
4801 romain il                     Ro-m5n il
4806 vous étiez                    vuz e-tje
4812 est un                        et 1
4817 est en                        et @
4835 on a                          §n a
4844 des arbres                    dez aRbR
4848 les ai                        lez E
4855 est assez                     et a-se
4876 est à                         et a
4878 est à                         et a
4878 est à                         et a
4913 les autres                    lez otR
4914 les autres                    lez otR
4916 les autres                    lez otR
4922 les autres                    lez otR
4932 dans un                       d@z 1
4932 un album                      1n al-bOm
4943 comment elle                  ko-m@t El
4961 les ordinateurs               lez OR-di-na-t9R
4997 en as                         @n a
5009 plus il                       plyz il
5009 plus il                       plyz il
5017 les habits                    lez a-bi
5022 mon habit                     m§n a-bi
5023 on arrive                     §n a-Riv
5023 bas il                        baz il
5023 en avant                      @n a-v@
5025 est une                       et yn
5027 est un                        et 1
5028 les appelle                   lez a-pEl
5036 on y                          §n i
5037 on arrive                     §n a-Riv
5055 est intéressant               et 5-te-RE-s@
5059 les a                         lez a
5062 en a                          @n a
5067 est absolument                et ap-so-ly-m@
5069 est une                       et yn
5070 en a                          @n a
5070 les a                         lez a
5091 les autres                    lez otR
5097 est il                        et il
5116 nous en                       nuz @
5131 un interrogatoire             1n 5-tE-Ro-ga-twaR
5132 bon escient                   b§n e-sj@
5150 est à                         et a
5160 on en                         §n @
5161 on en                         §n @
5162 en ai                         @n E
5173 quand il                      k@t il
5180 est un                        et 1
5208 tes épaules                   tez e-pol
5239 on attend                     §n a-t@
5244 est adrien                    et a-dRi-j5
5245 nous a                        nuz a
5248 est adrien                    et a-dRi-j5
5250 trop en                       tRop @
5250 en arrière                    @n a-RjER
5254 est à                         et a
5259 les hommes                    lez Om
5259 les hommes                    lez Om
5267 un autre                      1n otR
5272 est à                         et a
5272 beaucoup il                   bo-kup il
5274 est à                         et a
5275 très intéressant              tREz 5-te-RE-s@
