5279 un an                         1n @
5279 deux ans                      d2z @
5280 deux ans                      d2z @
5284 un air                        1n ER
5300 est une                       et yn
5300 est écrit                     et e-kRi
5311 son expérience                s§n Ek-spe-Rj@s
5311 on était                      §n e-tE
5321 dans un                       d@z 1
5321 tout autour                   tut o-tuR
5324 en avait                      @n a-vE
5325 nous a                        nuz a
5328 nous a                        nuz a
5328 nous a                        nuz a
5346 est un                        et 1
5350 les appelle                   lez a-pEl
5364 en a                          @n a
5364 un autre                      1n otR
5373 dans une                      d@z yn
5375 son attends                   s§n a-t@
5382 tout habillé                  tut a-bi-je
5383 est arrivé                    et a-Ri-ve
5388 peut être                     p2t EtR
5396 peut être                     p2t EtR
5400 est un                        et 1
5401 un autre                      1n otR
5404 est une                       et yn
5406 est une                       et yn
5418 en a                          @n a
5419 peut être                     p2t EtR
5420 nous as                       nuz a
5422 peut être                     p2t EtR
5423 en as                         @n a
5424 on arrête                     §n a-REt
5438 nous as                       nuz a
5439 très intéressantes            tREz 5-te-RE-s@t
5440 on a                          §n a
5443 est un                        et 1
5447 blonds alors                  bl§z a-lOR
5454 est un                        et 1
5457 elles avalent                 Elz a-val
5459 elles avalent                 Elz a-val
5461 peut être                     p2t EtR
5474 on arrive                     §n a-Riv
5475 est à                         et a
5477 est un                        et 1
5483 est une                       et yn
5491 est un                        et 1
5491 est un                        et 1
5494 tout à                        tut a
5505 tout à                        tut a
5567 en a                          @n a
5570 est un                        et 1
5575 ont un                        §t 1
5578 est il                        et il
5590 est une                       et yn
5590 des herbes                    dez ERb
5593 est une                       et yn
5600 son oeil                      s§n 9j
5601 son oeil                      s§n 9j
5602 un oeil                       1n 9j
5603 en as                         @n a
5603 un autre                      1n otR
5628 est une                       et yn
5631 ton avis                      t§n a-vi
5632 est un                        et 1
5640 en a                          @n a
5641 les avec                      lez a-vEk
5645 plus un                       plyz 1
5655 aux à                         oz a
5673 peut être                     p2t EtR
5680 est un                        et 1
5681 est un                        et 1
5690 vas y                         vaz i
5711 les hippocampes               lez i-po-k@p
5714 est un                        et 1
5716 on arrête                     §n a-REt
5721 est un                        et 1
5724 est un                        et 1
