8    on essaye                     §n e-sEj                      on essaye d' en sortir un
3991 quand il                      k@t il                        quand il leur court après en
3991 est à                         et a                          angélique c' est à mourir
3993 ton avis                      t§n a-vi                      mais à ton avis qu' est
3993 quand il                      k@t il                        veut dire quand il dit
3996 en a                          @n a                          que y en a une
3998 très amusant                  tREz a-my-z@                  c' est très amusant parce
4008 un orage                      1n o-RaZ                      y avoir un orage tout
4008 tout à                        tut a                         un orage tout à l'
4012 un orage                      1n o-RaZ                      va avoir un orage tout
4012 tout à                        tut a                         un orage tout à l'
4012 on a                          §n a                          orage qu' on a entendu
4014 peut être                     p2t EtR                       alors peut être qu' il associe
4014 un orage                      1n o-RaZ                      a eu un orage très
4014 quand il                      k@t il                        fort et quand il écoutait
4016 on a                          §n a                          puis aussi on a eu
4019 quand est                     k@t e                         quand est ce qu' ils viennent
4021 quand est                     k@t e                         quand est ce qu' ils viennent
4034 les aimes                     lez Em                        que tu les aimes les
4054 est extraordinaire            et Ek-stRa-OR-di-nER          c' est extraordinaire ça .
4059 ils ont                       ilz §                         les monstres ils ont mangé
4060 ils ont                       ilz §                         les monstres ils ont mangé
4074 quand est                     k@t e                         chérinou quand est ce qu' ils
4075 sont ils                      s§t il                        pas où sont ils .
4076 viennent ils                  vjEnt il                      demande quand viennent ils .
4086 en avais                      @n a-vE                       et j' en avais plein
4086 les oreilles                  lez o-REj                     avais plein les oreilles et
4093 en ai                         @n E                          j' en ai dit peu mais
4093 en ai                         @n E                          mais j' en ai dit
4099 on a                          §n a                          angoisse qu' on a retrouvée
4100 trois heures                  tRwaz 9R                      à trois heures du matin il
4101 on a                          §n a                          puis depuis on a tué
4103 les a                         lez a                         on les a tués .
4110 vas y                         vaz i                         allez vas y tu es le
4111 vas y                         vaz i                         vas y t' as autant de
4113 vous allez                    vuz a-le                      allez vous allez les tuer tous
4113 tous ensemble                 tusz @-s@bl                   les tuer tous ensemble ?
4114 tout à                        tut a                         laisse le tout à l'
4114 tout à                        tut a                         l' heure tout à l'
4115 peut être                     p2t EtR                       épée là peut être que
4115 tout à                        tut a                         être que tout à l'
4117 quand ils                     k@t il                        tu reviendras quand ils seront
4123 mon image                     m§n i-maZ                     ai sur mon image .
4131 en ai                         @n E                          paix j' en ai marre
4134 deux ans                      d2z @                         deux ans dit cet enfant plein
4135 un humour                     1n y-muR                      il a un humour pince
4135 nous envoyer                  nuz @-vwa-je                  rire pour nous envoyer promener
4149 est il                        et il                         où est il ?
