7 dis à                         dis à mamy !
2173 viens un                       ben viens un peu voir là
2184 cochons à                     trois petits cochons à la
2185 vas en                         tu vas en acheter ?
2186 aller en                       çà , aller en acheter
2187 veux un                        pourquoi tu veux un si grand
2192 sont allumées                 tes pédales sont allumées , ma
2200 vas aller                      tu vas aller au cora ,
2200 aller au                       tu vas aller au cora ,
2201 vas aller                      tu vas aller au cora pour
2201 aller au                       tu vas aller au cora pour
2201 acheter un                     cora pour acheter un livre
2205 ben oui                        aider , ben oui .
2216 dois avoir                     ben je dois avoir un
2218 donnes un                      tu me donnes un bisou ,
2222 était un                      mais c(e) était un gros
2224 était un                      et c(e) était un gros bisou
2224 et un                          pour mamy et un gros
2233 voit arriver                   on voit arriver léa de loin
2244 mais elles                     étaient parties mais elles sont
2244 est allés                     puisqu' on est allés chercher
2246 parties en                     cloches sont parties en vacances
2253 donner à                      vas lui donner à manger
2257 spaghettis avec                mangé des spaghettis avec des
2259 est encore                     , c(e) est encore euh
2259 nous ici                       , mais nous ici en
2259 spaghettis avec                pas des spaghettis avec des
2262 vas éplucher                  tu vas éplucher l' oeuf ?
2266 épinards et                   avec des épinards et des
2272 sécher où                    la mets sécher où ?
2276 non il                         non il ne faut pas tourner
2277 mais après                    mais après il fait trop chaud
2277 après il                      mais après il fait trop chaud
2281 pas aussi                      ne va pas aussi vite
2285 met un                         qu' on met un gilet
2290 bien appeler                   on peut bien appeler les pompiers
2292 as allumé                     tu as allumé la cuisinière pour
2300 pas à                         ne demandes pas à parrain
2318 tourner un                     tu peux tourner un peu .
2330 maintenant ils                 voilà , maintenant ils vont cuire
2336 mais elles                     mais elles sont parties , hein
2339 envolent et                    elles s' envolent et puis elles
2339 puis elles                     envolent et puis elles reviennent
2350 laisser au                     faut la laisser au soleil
2351 évaporer avec                 va s' évaporer avec le
2356 mais il                        mais il y a plein de
2362 mais elle                      oui mais elle va à l'
2375 ben où                        ben où est elle , la
2382 pas oublier                    ne faut pas oublier la
2384 et il                          et il boit par là aussi
2387 autrement il                   forcément , autrement il ne
2403 mais elle                      vois pas mais elle est
2433 est embêtant                  c(e) est embêtant .
2442 fais attention                 oui mais fais attention !
2449 ben oui                        ah ben oui .
2456 fais attention                 fais attention !
2466 est après                     ou c(e) est après son frère
2467 pas après                     ne sais pas après qui
2470 puis après                    et puis après il faudra laisser
2470 après il                      et puis après il faudra laisser
2471 jouer avec                     aimes bien jouer avec l'
2482 jouer avec                     saura pas jouer avec le
2484 jours avant                    faudra plusieurs jours avant de
2484 jouer avec                     de pouvoir jouer avec le
2492 non il                         non il faut que le soleil
2503 veux aller                     tu veux aller sur le camion
2508 es une                         mais tu es une grande fille
2509 est avec                       elle est avec luc , mamy
2510 veux aller                     tu veux aller à l' intérieur
2510 aller à                       tu veux aller à l' intérieur
2517 veux aller                     tu veux aller manger ?
2526 fais aller                     , tu fais aller le
2534 vas envoyer                    tu vas envoyer bouler ton frère
2538 pas envie                      n' avait pas envie que
2539 vas aller                      tu vas aller sur le coq
2560 mis une                        qui ai mis une blouse
2565 coeurs aussi                   a des coeurs aussi #
2565 boules oui                     des petites boules oui .
2581 est un                         non c(e) est un gâteau ,
2587 goûter un                     d' en goûter un !
2593 plutôt avec                   est pas plutôt avec de
2599 partez en                      et vous partez en vacances ,
2601 allez où                      vous allez où ?
2603 hein oui                       sable , hein oui ?
2607 pas allés                     n' est pas allés à
2607 allés à                      est pas allés à la
2608 est allé                      on est allé voir après un
2608 après un                      allé voir après un magasin
2609 est allé                      on est allé jusque courtrai .
2614 veux un                        tu veux un mouchoir ?
2616 loup avec                      bouge le loup avec un mouchoir
2623 nez avec                       dans son nez avec ses
2624 ben oui                        ben oui mais il faut bien
2624 mais il                        ben oui mais il faut bien
2625 après on                      monde , après on va
2629 vas avoir                      tu vas avoir un gros nez
2630 et à                          et à chaque fois qu' on
2638 dis un                         dis un peu bonjour , madame
2640 comment encore                 t' appelles comment encore ?
2643 habites où                    et tu habites où ?
2648 pays ici                       dans quel pays ici ?
2653 est en                         , on est en pays
2654 est un                         c(e) est un nouveau pays .
2660 racontes une                   tu me racontes une histoire ?
2675 cochons à                     trois petits cochons à la
2675 dansent en                     tire bouchon dansent en rond
2681 bâtit une                     pressé , bâtit une maison
2681 maison en                      bâtit une maison en paille
2685 maison en                      construire sa maison en paille
2689 deux ou                        planches , deux ou trois
2692 arrivons au                    alors nous arrivons au troisième petit
2694 fait elles                     ai pas fait elles collaient
2694 collaient ensemble             fait elles collaient ensemble je
2694 fait exprès                   ai pas fait exprès .
2696 pierres une                    pose les pierres une à
2697 toit en                        le toit en tuiles et la
2697 tuiles et                      toit en tuiles et la
2702 ben ils                        ah oui ben ils sont trois
2710 met à                         loup se met à souffler
2714 enfuit à                      snif s' enfuit à toutes
2714 pattes et                      à toutes pattes et court
2716 maison en                      une maison en .
2717 non une                        non une maison en bois .
2717 maison en                      non une maison en bois .
2719 maison en                      dans la maison en bois
2722 bien à                        se croient bien à l'
2726 met à                         loup se met à souffler
2726 souffler encore                souffler , souffler encore ,
2731 cochons épouvantés           les deux cochons épouvantés s' enfuient
2731 enfuient à                    épouvantés s' enfuient à toutes
2743 non il                         non il souffle .
2745 non il                         non il ne veut pas faire
2748 temps en                       faim de temps en temps
2761 puis il                        porte et puis il voit
2769 fais attention                 fais attention !
2770 et alors                       et alors , dis !
2781 bien entendu                   j(e) ai bien entendu , il
2783 est enrhumées                 on est enrhumées , oui ?
2785 as un                          , tu as un rhume
2785 maman aussi                    rhume , maman aussi .
2787 pas avec                       n' iras pas avec mamy
2792 pas à                         , mais pas à l'
2795 maison alors                   dans sa maison alors elle
2795 alors elle                     sa maison alors elle ne
2796 pas ici                        n' est pas ici .
2797 retourner à                   va pas retourner à sa
2810 maman ou                       avec maman ou avec mamy ?
2812 bien on                        eh bien on verra , c(e)
2815 pas au                         pas au dessus , non .
2818 donner en                      que se donner en spectacle
2825 vas en                         tu vas en avoir .
2839 et on                          et on s' essuie les mains
2850 dis un                         dis un peu bonjour , parrain
2851 donner un                      vas lui donner un bisou
2858 vas avoir                      tu vas avoir un gros nez
2861 non on                         non on ne va pas dehors
2863 sujet est                      le sujet est clos , c(e)
2871 pas écrire                    ne sauras pas écrire ,
2880 donner à                      tu pourrais donner à manger à
2880 manger à                      donner à manger à ton
2882 donner un                      on va donner un bisou .
2890 fait à                        tu as fait à l'
2891 comment encore                 s' appelle comment encore ?
2906 maman a                        ça que maman a retiré
2909 sont au                        les pièces sont au milieu
2916 comment on                     sais bien comment on fait
2927 mets il                        tu mets il faut mettre le
2927 biberon où                    mettre le biberon où faut
2935 façon il                      de toute façon il (n' )
2941 dis un                         dis un peu à maman !
2948 est en                         il est en haut à gauche
2948 en haut                        il est en haut à gauche
2948 haut à                        est en haut à gauche
2950 bas à                         mise en bas à gauche
2952 est un                         , c(e) est un coin
2952 mais il                        un coin mais il va
2957 bas à                         en bas à droite , voilà
2976 t elle                         où va t elle ?
2979 est elle                       c(e) est elle va au dessus
2984 haut est                       partie du haut est faite
2986 bleues ici                     des fleurs bleues ici .
2999 toujours une                   ça a toujours une queue
2999 hein oui                       poisson , hein oui ?
3005 peut y                         il ne peut y avoir
3007 pas avec                       ne va pas avec .
3012 maintenant il                  maintenant il faut faire les côtés
3035 est ici                        il est ici , le petit
3038 t il                           où va t il ?
3040 est un                         , c(e) est un côté
3044 vient ici                      donc il vient ici .
3048 voit encore                    on voit encore une partie de
3048 cheveux ici                    de ses cheveux ici .
3055 es en                          tu es en train de tout
3057 ben oui                        ben oui , je sais .
3067 dessin à                      mets ton dessin à l' endroit
3070 as un                          tu as un morceau de queue
3081 non il                         non il ne manque pas de
3087 est à                         là elle est à l'
3088 était aussi                   pourquoi elle était aussi dure
3091 fait à                        tu as fait à l'
3092 fait à                        tu as fait à l'
3103 dois encore                    je dois encore me fâcher comme
3112 tourner en                     va encore tourner en bagarre
