7 dis à                         dis à mamy !
42511 serpent aussi                  le serpent aussi ?
42519 arriver au                     il va arriver au bout
42524 dit il                         sale , dit il .
42525 est arrivé                    porculus qui est arrivé là
42526 sûrement y                    il doit sûrement y avoir de
42527 endroit où                    est l' endroit où on
42535 met à                         il se met à chercher et
42535 chercher et                    met à chercher et il
42535 et il                          à chercher et il découvre
42539 mais il                        conserves vides mais il ne
42540 et il                          la boue et il ne
42546 est une                        c(e) est une voiture .
42558 était avec                    c(e) était avec ça qu' elle
42562 pas à                         (ne) mets pas à la bouche
42565 ouais un                       ouais un aspirateur .
42566 pages en                       tourné deux pages en même
42567 avant il                       avant il lui arrive d' autre
42568 mettait où                    où on mettait où les
42568 poubelles et                   toutes leurs poubelles et il
42568 et il                          leurs poubelles et il (n'
42570 et il                          et il arrive où ?
42574 et il                          et il arrive à la ville
42577 et il                          et il cherche toujours sa boue
42578 sûrement y                    il doit sûrement y avoir
42582 veux aller                     tu veux aller où ?
42582 aller où                      tu veux aller où ?
42583 veux aller                     tu veux aller où ?
42583 aller où                      tu veux aller où ?
42590 mais en                        oui , mais en ville ,
42601 était arrivée                on était arrivée ici .
42602 et alors                       et alors , qu' est-ce qu'
42604 dit enfin                      il se dit enfin , de
42605 mais ici                       mais ici , qu' est-ce qui
42605 est écrit                     est-ce qui est écrit ?
42610 asseoit et                     il s' asseoit et il s'
42610 et il                          s' asseoit et il s'
42613 pages encore                   tourné deux pages encore ?
42618 tout et                        doux du tout et en
42618 et en                          du tout et en réalité
42621 mais il                        la boue mais il ne
42640 et oui                         et oui , le monsieur aussi
42640 monsieur aussi                 , le monsieur aussi a
42641 monsieur aussi                 , le monsieur aussi a
42643 et alors                       et alors le pauvre porculus ,
42655 enfants et                     les petits enfants et tout
42663 et alors                       et alors # est-ce qu' il
42668 est une                        , c(e) est une sorte
42669 et alors                       et alors ?
42698 fais un                        tu me fais un bisou
42739 p(u)is i(l)                    et p(u)is i(l) y a de
42745 doit être                     , ça doit être des
42756 est une                        , c(e) est une boîte
42762 est où                        elle est où , ta voiture
42763 et alors                       et alors qu' est-ce que tu
42764 veux aller                     tu veux aller la chercher ?
42765 pas aller                      ne veux pas aller la
42773 était à                      que c(e) était à anne
42774 est à                         , c(e) est à anne
42777 alors attends                  oui , alors attends !
42781 ben attends                    ah ben attends , anne !
42782 autrement il                   autrement il y a la grosse
42789 est un                         c(e) est un truc de bidibulle
42792 comment elle                   à sarah comment elle est
42794 avait achetée                 , elle avait achetée .
42795 comment elle                   à sarah comment elle est
42799 ben elle                       ben elle peut le mettre là
42804 puis i(l)                      puis i(l) (n' ) y a
42810 p(u)is il                      oh p(u)is il y a une
42819 ben elle                       ben elle ne va pas te
42825 peut aller                     , il peut aller dedans
42827 peut aller                     il peut aller .
42828 peut aller                     il peut aller dedans .
42835 est un                         c(e) est un garage pour mettre
42837 ben oui                        ben oui .
42844 fait un                        t' a fait un gros
42847 pas un                         ) est pas un chapeau
42848 mets en                        tu le mets en chapeau
42853 tient ou                       il tient ou pas ?
42863 était un                      origine c(e) était un pot
42865 non il                         non il ne peut pas rentrer
42884 savais aussi                   tu le savais aussi , lore
42896 mais ils                       l' herbe mais ils (n'
42908 monsieur est                   le monsieur est rentré dans sa
42911 préparer à                   va se préparer à manger
42912 aller au                       il va aller au balcon ?
42920 préparer à                   pour lui préparer à manger .
42921 ben il                         ah ben il y a la
42926 préparer à                   va leur préparer à manger
42929 nous aussi                     et pour nous aussi .
42930 nous aussi                     nous aussi , on va manger
42937 mettez un                      vous en mettez un peu partout
42937 partout alors                  un peu partout alors .
42949 demandes à                    ben tu demandes à sarah !
42951 prends une                     , je prends une rouge
42953 assez avec                     j(e) aurai assez avec #
42957 attention avec                 faut faire attention avec les
42961 fais à                        que tu fais à manger
42974 ben oui                        ah ben oui , c(e) est
42976 endroit approprié             est l' endroit approprié .
42977 ben oui                        ben oui .
43003 veux une                       , tu veux une tartine
43011 tournes aussi                  tu tournes aussi .
43012 tournes aussi                  tu tournes aussi ?
43022 tournes aussi                  et tu tournes aussi .
43046 bien un                        je veux bien un petit
43047 mets un                        m' en mets un petit
43058 voler ou                       i(l) va voler ou il va
43062 bon alors                      bon alors tu (l' ) enlèves
43072 mais oui                       mais oui , c(e) est une
43072 est une                        , c(e) est une autre
43074 mettras un                     tu nous mettras un petit
43077 bien un                        je veux bien un petit
43080 donner un                      pas nous donner un petit
43081 ben alors                      ben alors .
43083 doit être                     elle doit être chaude puisque tu
43085 chaud encore                   est pas chaud encore ?
43087 ben oui                        ben oui .
43099 sers un                        je me sers un petit
43104 rien à                        ) a rien à manger
43109 veux un                        tu veux un petit orange ?
43120 pas où                        ne sais pas où ils
43121 peut être                     y a peut être encore
43127 as un                          , t(u) as un bouchon
43157 mais au                        petite tartine mais au fromage
43158 pas au                         ) est pas au milieu
43159 est au                         c(e) est au dessert .
43166 alors et                       ça refroidisse alors et j(e)
43168 ben il                         oui , ben il faut que
43172 ben oui                        ben oui .
43175 mis à                         l' as mis à rechauffer
43189 avez été                     vous qui avez été faire
43190 et on                          ah et on va manger quoi
43194 ben i(l)                       ben i(l) y en a deux
43195 est à                         le chapeau est à côté
43196 est à                         , il est à côté
43202 ben on                         ben on ne va pas manger
43204 pas être                      ne va pas être content
43210 ben oui                        ben oui , mais il est
43210 mais il                        oui , mais il est
43214 vas encore                     tu vas encore en manger ?
43215 deux assiettes                 (tu-vas-en-manger) deux assiettes ?
43216 et après                      et après tu manges quoi ?
43218 et alors                       oui , et alors après ?
43218 alors après                   , et alors après ?
43221 directement au                 tu passes directement au dessert
43224 ben où                        et ben où ils sont ,
43230 poisson avec                   ou du poisson avec la
43234 ben écoute                    ben écoute !
43248 ben oui                        ben oui lore , elle a
43257 coller après                  ça va coller après .
43259 était à                      mais c(e) était à lolo
43263 est à                         on est à la purée .
43267 ben oui                        ben oui , c(e) est bon
43273 ben oui                        ben oui , mais .
43289 vas aller                      , tu vas aller bientôt
43289 bientôt à                    vas aller bientôt à l'
43290 non elle                       ben non elle (n' ) est
43290 pas à                         ) est pas à paris
43293 étais en                      quand tu étais en hollande
43293 en hollande                    tu étais en hollande ?
43295 as été                       t(u) as été sur la plage
43297 et alors                       et alors tu as vu des
43298 coquillages aussi              vu les coquillages aussi .
43301 ben et                         eh ben et .
43304 rien en                        ) as rien en desous
43305 ben oui                        ben oui mais .
43319 ben oui                        ben oui .
43320 ben oui                        ben oui .
43321 fait attention                 a pas fait attention ,
43325 ben ouais                      ben ouais , bien sûr qu'
43328 ben oui                        ben oui , t(u) as emmené
43328 as emmené                     , t(u) as emmené la
43345 ben on                         oh ben on cherche , hein
43356 est où                        elle est où ?
43382 ben oui                        ben oui .
43392 maison avec                    faire la maison avec les
43399 maison ou                      est la maison ou c(e)
43423 aider à                       vient nous aider à faire
43427 petites aussi                  des petites aussi .
43438 pas encore                     ne mange pas encore les
43453 pas exprès                    ne fait pas exprès .
43456 lit alors                      fais le lit alors .
43461 est un                         qu' elle est un peu
43470 ben il                         ben il aura plus beaucoup de
43474 trop à                        lui donner trop à manger
43475 après il                      parce qu' après il aura plus
43477 mais on                        fait dodo mais on peut
43478 alors on                       alors on va faire un petit
43487 donner à                      pour lui donner à boire
43488 jambes alors                   lui les jambes alors ,
43495 et i(l)                        et i(l) ne pourra pas se
43499 ben il                         ah ben il ne va pas
43503 ben alors                      bon ben alors .
43507 mais attends                   mais attends , regarde !
43516 essayer avec                   on va essayer avec un autre
43524 mais on                        mais on (n' ) a plus
43528 sont attachés                 ils se sont attachés maintenant
43531 puis une                       fauteuil et puis une petite
43553 aller à                       triste d' aller à dodo
43560 était en                      anne était en train de dire
43560 allait au                      qu' il allait au lit
43567 avait avant                    qui l' avait avant .
43568 bon alors                      bon alors .
43573 chacun aura                    et chacun aura celui qu' il
43590 main à                        veux la main à sarah
43604 ben il                         ben il est sympa , celui
43610 ben on                         et ben on lui fait faire
43623 bon alors                      bon alors .
43626 autrement i(l)                 autrement i(l) y a le nounours
43645 mais attends                   mais attends !
43647 attends attends                attends attends !
43650 avait un                       i(l) y avait un petit
43652 ben alors                      et ben alors mets le au
43655 ben oui                        ben oui , mais attends attends
43655 mais attends                   oui , mais attends attends
43655 attends attends                , mais attends attends attends
43655 attends attends                mais attends attends attends !
43664 est où                        il est où , anne ?
43678 lit et                         tête de lit et le
43683 assis et                       le mettre assis et puis
43683 puis on                        assis et puis on va
43685 met un                         on lui met un petit .
43687 décaler un                    va le décaler un petit
43689 après on                      après on enlèvera la table et
43689 p(u)is il                      table et p(u)is il pourra
43689 retourner au                   il pourra retourner au dodo
43691 et alors                       et alors ?
43694 es où                         t(u) en es où , toi
43699 bon il                         ah bon il fait dodo d'
43700 petit alors                    tout petit petit alors ?
43702 est un                         c(e) est un bébé ?
43703 est un                         c(e) est un bébé ?
43715 mais oui                       mais oui , tu dis ,
43719 après i(l)                    après i(l) joue , d' accord
43731 mis on                         l' avait mis on l'
43742 est un                         c(e) est un petit bébé alors
43744 attends attends                attends attends attends !
43744 attends attends                attends attends attends !
43745 redonner une                   t' en redonner une .
43748 ben on                         ah ben on ne voit plus
43749 est un                         ben c(e) est un bout de
43754 ben oui                        ben oui , mais et il
43754 mais et                        oui , mais et il
43754 et il                          , mais et il ne
43755 es au                          quand tu es au dodo on
43762 est un                         si c(e) est un petit bébé
43769 ben oui                        ben oui .
43770 aller au                       il va aller au dodo
43775 changer un                     on pourrait changer un peu ?
43785 petit hibou                    est le petit hibou ?
43790 est à                         c(e) est à la fin qu'
43796 et heureusement                disent pareil et heureusement à
43796 heureusement à                pareil et heureusement à la
43796 fin il                         à la fin il retrouve
43797 vert aussi                     le pic vert aussi , il
43801 et au                          et au fait ernestine , qu'
43801 est arrivé                    qui lui est arrivé ?
43806 sais on                        , tu sais on l'
43806 matin encore                   lu hier matin encore ,
43815 fois euh                       à chaque fois euh .
43817 et oui                         et oui .
43818 et ils                         et ils (n' ) ont pas
43819 pas un                         ) est pas un livre
43820 est à                         c(e) est à daniel .
43821 est un                         c(e) est un magazine , ça
43822 est un                         c(e) est un magazine .
43824 est à                         c(e) est à daniel .
43825 chercher un                    va chercher un livre !
43826 doit y                         il doit y en avoir dans
43834 est un                         ah c(e) est un catalogue .
43838 marrant à                     pas très marrant à lire
43842 pas entendu                    ) ai pas entendu ,
43848 est un                         c(e) est un pingouin , c(e)
43848 pas un                         ) est pas un canard
43849 mais il                        mais il est tout abimé .
43850 ben ouais                      ben ouais , s(i) il est
43869 pourtant il                    pourtant il a été gentil .
43877 alors il                       alors il faut se rappeler comment
43877 comment il                     se rappeler comment il était
43878 et après                      et après ?
43889 ben oui                        ben oui .
43895 dos à                         tournes le dos à la
43906 après il                      après il finit , oui .
43920 et oh                          et oh comme ça .
43942 dit on                         il dit on va aller se
43947 et ils                         et ils (n' ) ont pas
43954 comment il                     il voit comment il est
43954 est il                         comment il est il se
43954 non il                         se dit non il est
43955 alors il                       alors il va voir dans une
43955 peut en                        si on peut en retrouver
43955 retrouver un                   peut en retrouver un autre
43958 mais il                        mais il (n' ) y a
43969 ouais ouais                    ouais ouais , par le plastique
43974 comment il                     alors comment il s' appelle ,
43977 trois ours                     et les trois ours .
43979 est un                         c(e) est un peu édulcoré comme
43981 est un                         c(e) est un peu édulcoré comme
43984 et alors                       et alors les petits ours ?
43996 et elle                        et elle traverse la # rivière
43999 est arrivée                   qu' elle est arrivée dans
44013 grand et                       est trop grand et trop
44014 finalement elle                et finalement elle se met dans
44024 parfait et                     le trouva parfait et s'
44036 est une                        c(e) est une porte .
44042 est une                        c(e) est une chaise ou le
44046 maman ours                     ours , maman ours et
44058 puis hop                       et puis hop .
44059 fait un                        elle fait un tabouret et elle
44059 tabouret et                    fait un tabouret et elle
44059 et elle                        un tabouret et elle s'
44072 et ici                         et ici elle est où ?
44072 est où                        ici elle est où ?
44074 est assise                     elle est assise sur quoi ?
44077 est installé                  le monde est installé .
44081 chaussons au                   les chaussons au pied du lit
44082 chacun a                       chacun a ses chaussons .
44088 est où                        il est où , le papa
44094 veut encore                    elle veut encore manger ?
44096 fait une                       elle a fait une grande promenade
44097 et elle                        et elle a très faim .
44106 un hibou                       un hibou .
44108 deux ici                       , les deux ici ?
44120 est une                        , c(e) est une quoi
44121 fleurs exactement              des fleurs exactement .
44123 et ici                         et ici ?
44149 maison à                      vers sa maison à elle ?
44155 verts encore                   a des verts encore ?
44157 fais un                        tu fais un bisou à papa
44158 fais un                        tu fais un bisou ?
44160 est occupée                   ouh elle est occupée là .
44165 bon allez                      bon allez , au travail !
44168 ben à                         bon ben à tout (à-l' heure)
44175 heures et                      , sept heures et demie
44177 heures et                      sept heures et demie .
44180 avais un                       t(u) avais un noeud ?
44186 trop occupée                  t(u) es trop occupée là
44189 ont envie                      qu' ils ont envie de
44193 après on                      après on va manger .
44196 manger avec                    tu peux manger avec eux
44196 eux aussi                      manger avec eux aussi ,
44199 manger en                      monde va manger en même
44202 pas envie                      ) as pas envie de
44205 alors elle                     alors elle va essayer la soupe
44209 alors elle                     alors elle va goûter le troisième
44213 et elle                        et elle mange tout le bol
44214 après elle                    ah après elle retourne à la
44216 sont où                       ah ils sont où , les
44217 sont où                       , ils sont où ,
44222 remanger encore                elle va remanger encore de la
44224 et ils                         et ils vont tous manger .
44234 raconter à                    tu veux raconter à sarah
44235 pas envie                      ) as pas envie .
44237 sûrement intéressée         l' aurait sûrement intéressée .
44238 ben oui                        ben oui .
44242 vais aller                     , je vais aller le
44261 et on                          et on l' entend plus parler
44262 est où                        elle est où ?
44267 et alors                       et alors on va lui donner
44267 alors on                       et alors on va lui donner
44267 donner après                  va lui donner après sa
44267 donner autre                   va lui donner autre chose
44269 manger aussi                   elle va manger aussi ?
44271 un yaourt                      un yaourt d' accord .
44275 et en                          et en légumes , qu' est-ce
44278 préparer à                   va lui préparer à manger
44278 manger avec                    préparer à manger avec ta
44280 puis on                        livre et puis on va
44285 prépares à                   tu lui prépares à manger
44299 alors elle                     alors elle veut manger ?
44303 assoit alors                   monde s' assoit alors .
44307 dont elle                      hein , dont elle a
44310 cuisiner un                    peux lui cuisiner un petit
44315 préparer un                   veux pas préparer un gâteau
44325 mettait à                     on la mettait à table
44329 bien à                        est juste bien à sa
44331 pas envie                      ) a pas envie ?
44343 donner à                      veux lui donner à manger
44351 donner encore                  lui en donner encore ,
44353 manger avec                    elle peut manger avec la fourchette
44359 fond à                        tout au fond à côté
44365 vert en                        met le vert en bas
44374 avait amené                   bruno t' avait amené ?
44383 es un                          t(u) es un peu fatiguée ,
44385 fermer un                      on va fermer un peu .
44386 pas arrêter                   ne peut pas arrêter de
44389 manger avant                   tu vas manger avant de
44394 avait un                       il y avait un poisson
44400 poisson à                     fait du poisson à manger
44404 poisson ou                     poisson ou pas ?
44432 avais amené                   que j(e) avais amené une
44435 alors on                       bon # alors on range .
44452 continuer à                   tu veux continuer à jouer ?
44453 bon alors                      bon alors on va remettre le
44453 alors on                       bon alors on va remettre le
44453 bouchon et                     remettre le bouchon et on
44453 et on                          le bouchon et on va
44454 fais alors                     comment tu fais alors ?
44455 veux en                        que tu veux en faire
44474 et il                          et il y en a d'
44475 puis il                        d' or puis il y
44476 met en                         qu' on met en place
44478 trois ours                     et les trois ours .
44484 est une                        , c(e) est une journée
44487 est un                         c(e) est un manège .
44488 ben un                         ben un manège .
44494 bien aimé                     t(u) as bien aimé , le
44496 avait une                      il y avait une fois
44496 fois avec                      avait une fois avec maman
44496 maman et                       fois avec maman et une
44496 et une                         avec maman et une fois
44496 fois avec                      et une fois avec tatie
44497 fois avec                      plusieurs fois avec tatie christine .
44498 emmener au                     de t' emmener au manège
44524 pont avec                      , un pont avec des
44526 volet oui                      le volet oui # .
44546 apprend à                     il apprend à nager avec sa
44546 nager avec                     apprend à nager avec sa
44548 fait aussi                     il fait aussi coin coin ,
44550 début il                      au début il ne sait pas
44551 est où                        , il est où ?
44567 était à                      c(e) était à l' anniversaire à
44570 est une                        , c(e) est une affiche
44579 est après                     ben c(e) est après .
44581 est après                     , c(e) est après .
44583 ben on                         ah ben on a déjà vu
44585 fait un                        on a fait un peu
44588 était euh                     que c(e) était euh ça
44588 devait être                   euh ça devait être quelqu'un
44591 petit avec                     est laurent petit avec sa
44593 est une                        , c(e) est une jolie
44604 sinon on                       sinon on peut .
44606 est une                        , c(e) est une affiche
44606 bardot et                      avec brigitte bardot et .
44611 feuilles et                    plein de feuilles et j(e)
44613 montrer à                     tu veux montrer à sarah ?
44615 vraiment évolué              elle a vraiment évolué .
44621 crayons aussi                  ai des crayons aussi .
44625 est une                        c(e) est une baleine en fait
44633 fait une                       , il fait une grande
44634 et il                          et il ne rencontre pas des
44635 et i(l)                        et i(l) rencontre qui ?
44638 copains à                     les copains à la baleine ,
44645 copains à                     alors les copains à la baleine
44648 aurait un                      i(l) y aurait un poisson aussi
44648 poisson aussi                  aurait un poisson aussi comme
44649 copain à                      est le copain à la
44659 alors il                       la mer alors il faut
44671 est un                         , c(e) est un vert
44676 ben ouais                      ben ouais .
44679 et où                         et où est-ce qu' elle s'
44688 donner un                      va lui donner un peu
44689 chercher un                    elle va chercher un petit
44692 est un                         , c(e) est un bleu
44693 est un                         c(e) est un autre bleu que
44697 fait en                        qu' on fait en noir
44713 est un                         un qui est un petit
44725 fait en                        qu' on fait en noir
44729 nuit en                        la nuit en violet .
44732 vois aussi                     que tu vois aussi des
44733 avions avec                    vois des avions avec des
44745 est un                         que c(e) est un emballage
44754 ben il                         ah ben il est beau .
44765 est entre                      , c(e) est entre le
44767 manquait un                    il en manquait un .
44768 voulais un                     tu voulais un petit rouge ?
44772 est avec                       c(e) est avec ça que t(u)
44775 veux un                        tu veux un rouge ?
44777 dois avoir                     , je dois avoir un
44783 pas abîmer                    pour ne pas abîmer la
44784 alors une                      alors une poule dans le jardin
44785 alors un                       alors un lapin dans le jardin
44789 nid avec                       voit le nid avec les
44793 tient au                       elle les tient au chaud jusqu'
44795 et i(l)                        et i(l) court dans le jardin
44799 est un                         c(e) est un bleu rouge .
44802 est un                         c(e) est un crayon .
44808 et il                          en bleu et il marche
44816 fais un                        je en fais un .
44818 vas être                      tu vas être déçue .
44823 fais un                        tu fais un cadeau ?
44824 devrait être                  ça devrait être jouable encore .
44835 un et                          un et deux .
44838 ben on                         ben on va faire la distribution
44839 donner à                      va les donner à tous
44843 avait achetés                 qu' il avait achetés ,
44844 pas à                         ne ressemblait pas à son
44847 après il                      après il va falloir faire un
44869 droit à                       elle a droit à un
44871 fais un                        je fais un marron après .
44871 marron après                  fais un marron après .
44882 ben ouais                      ben ouais .
44886 alors il                       alors il manque le violet .
44887 violet et                      donnes le violet et le
44889 veux un                        tu veux un cadeau ?
44890 ben i(l)                       ben i(l) faut que tu me
44890 donnes une                     tu me donnes une nouvelle
44897 est une                        c(e) est une belle couleur ,
44899 peut encore                    on peut encore , hein .
44902 bientôt il                    bientôt il (n' ) y aura
44903 cadeaux oh                     rempli de cadeaux oh là
44904 auront autant                  enfants qui auront autant de
44908 veut on                        si on veut on trouvera
44908 toujours une                   on trouvera toujours une petite
44910 est i(l)                       ça y est i(l) y en
44948 pourrait aller                 , ça pourrait aller mais
44948 mais une                       pourrait aller mais une poule
44949 fais un                        tu fais un petit bec pointu
44951 canard à                      un canard à la limite mais
44956 est une                        c(e) est une poule .
44961 aurait été                   ça aurait été plus dans mon
44963 comment on                     alors comment on fait des oeufs
44967 deux oeufs                     deux oeufs .
44969 deux oeufs                     deux oeufs , trois oeufs ,
44969 trois oeufs                    oeufs , trois oeufs ,
44971 pas en                         ne faut pas en mettre
44971 cadeaux i(l)                   que les cadeaux i(l) (n'
44980 normalement elle               normalement elle doit bouger ses pattes
44980 pattes et                      bouger ses pattes et sa
44989 sont où                       ouh ils sont où , mes
44990 sont où                       ouh ils sont où , mes
44994 ben oui                        ben oui , mais il se
44994 mais il                        oui , mais il se
44997 ben attends                    ah ben attends !
44998 trouver un                     va lui trouver un copain
45003 ben oui                        ben oui , sa copine peut
45005 ont une                        la coccinelle ont une copine
45009 alors ils                      alors ils ont droit aux cadeaux
45009 droit aux                      ils ont droit aux cadeaux
45011 bon alors                      bon alors on lui donne lequel
45011 alors on                       bon alors on lui donne lequel
45012 violet ou                      , le violet ou le
45025 fait un                        on lui fait un cadeau
45026 violet ici                     petit cadeau violet ici alors
45027 alors ils                      alors ils s' entendent bien ,
45032 marron aussi                   marron aussi ?
45038 voudrais une                   tu en voudrais une pour la
45039 mais on                        mais on l' avait déjà fait
45041 bon on                         bon on peut lui en faire
45047 pas aller                      ne veux pas aller chercher
45050 eux aussi                      # cadeau eux aussi .
45051 droit à                       j(e) ai droit à un cadeau
45061 droit à                       j(e) ai droit à mon cadeau
45063 peut aller                     elle peut aller le chercher .
45066 est une                        c(e) est une coccinelle à l'
45079 est un                         c(e) est un tabouret de camping
45083 est à                         c(e) est à moi , ça
45090 ont eu                         qu' elles ont eu leurs
45091 ont eu                         elles ont eu des beaux cadeaux
45091 cadeaux et                     des beaux cadeaux et i(l)
45091 et i(l)                        beaux cadeaux et i(l) y
45091 peut être                     y a peut être du
45091 chocolat et                    par le chocolat et le
45094 mais alors                     ah mais alors là c(e) est
45101 sucrier alors                  dans un sucrier alors .
45108 bien un                        y avait bien un truc
45113 comment elles                  sinon comment elles pourraient boire le
45114 alors i(l)                     alors i(l) y a qui ?
45119 régaler avec                  vont se régaler avec ce
45120 veux une                       tu veux une étoile de mer
45124 fais euh                       je fais euh des mouvements de
45130 droit à                       il a droit à son
45136 et hop                         et hop .
45139 et hop                         et hop .
45142 plonger aussi                  il va plonger aussi , tu
45155 loup et                        de chaque loup et colorie
45156 est il                         , c(e) est il faut
45161 loups ont                      les petits loups ont encore
45161 ont encore                     petits loups ont encore plus
45162 ben ils                        ben ils ont peur du loup
45169 pas un                         ) est pas un tas
45170 est une                        bien c(e) est une cabane
45171 colin aussi                    colin aussi veut faire une cabane
45172 fabriquer une                  vont se fabriquer une maison
45174 fait une                       on avait fait une maison
45180 colin aussi                    colin aussi veut faire une cabane
45180 puis une                       cabane et puis une route
45180 puis et                        route et puis et puis
45183 est un                         c(e) est un camp .
45184 ben oui                        ben oui , c(e) est quand
45184 cabanes ensemble               a plusieurs cabanes ensemble .
45185 fait un                        ça fait un camp .
45187 est il                         , c(e) est il a
45187 fait une                       il a fait une barrière
45193 colin et                       comme colin et coline ?
45194 pis alors                      bon tant pis alors , hein
45195 images alors                   racontes ces images alors ?
45200 est un                         c(e) est un petit chat ?
45206 bas et                         doudou en bas et pourquoi
45211 puis un                        là et puis un bandage
45212 puis il                        et puis il a son pantalon
45215 avis il                        à mon avis il a
45215 toucher à                     a dû toucher à la
45215 et à                          au couteau et à l'
45218 temps et                       en même temps et il
45218 et il                          même temps et il s'
45219 et il                          petite bêtise et il se
45230 ben ils                        oh ben ils sont tous pressés
45233 ben il                         ben il (n' ) est là
45235 lapin et                       zoup le lapin et il
45235 et il                          le lapin et il (n'
45236 jouer avec                     veut pas jouer avec mousse
45238 méchant avec                  monde est méchant avec lui
45238 surtout aujourd'               avec lui surtout aujourd' hui
45239 joyeux anniversaire            joyeux anniversaire , mousse , chantent
45240 jonquilles et                  cueilli des jonquilles et des
45240 violettes et                   et des violettes et des
45252 est un                         , c(e) est un gâteau
45265 printemps est                  debout le printemps est là .
45274 fait encore                    s(i) il fait encore un
45274 printemps est                  que le printemps est là
45275 pas encore                     ) est pas encore le
45278 grenouilles ici                des grenouilles ici .
45285 pas envie                      ) ai pas envie de
45293 montrer à                     veux pas montrer à sarah
45294 placards et                    fait des placards et tout
45307 bien avec                      t' amuses bien avec .
45315 ouais ouais                    ouais ouais , mais on verra
45315 mais on                        ouais , mais on verra
45331 ben oui                        ben oui , peut être sur
45335 est assis                      , il est assis sur
45345 sont où                       elles sont où ?
45354 ben oui                        ben oui , lui , il
45355 et elles                       et elles sentent bon , ces
45357 est un                         , c(e) est un marchand
45361 donnes à                      tu lui donnes à lui .
45362 est une                        c(e) est une glace à quoi
45374 comment est-ce                 comment est-ce qu' elle s' appelle
45383 es une                         , t(u) es une petite
45393 deux arbres                    entre les deux arbres .
45394 sont où                       ils sont où , les deux
45394 deux arbres                    , les deux arbres ?
45396 bosquet alors                  dans le bosquet alors .
45398 troncs ici                     les deux troncs ici .
45399 un et                          un et deux .
45401 chemin alors                   sur le chemin alors .
45413 doit être                     , ça doit être des
45417 peut aller                     , il peut aller partout
45427 est où                        , elle est où ,
45441 en haut                        pas tout en haut des
45448 peuvent être                  ils peuvent être dans l' herbe
45448 mais au                        l' herbe mais au soleil
45449 ben oui                        ben oui , il est là
45459 et il                          et il va avec qui ,
45461 berger avec                    , un berger avec un
45462 pas avec                       ) est pas avec les
45471 ben il                         eh ben il perd sa casquette
45476 vent et                        a du vent et il
45476 et il                          du vent et il retire
45484 comment il                     comment il va y aller ?
45485 demander au                    il va demander au canard de
45492 plutôt une                    c(e) est plutôt une marre .
45493 est une                        c(e) est une petite mer .
45496 terrier où                    un petit terrier où on
45497 endroit un                     un endroit un peu caché .
45502 et il                          et il vole tout seul ,
45505 est envolé                    il s' est envolé .
45508 est où                        elle est où , pimprenelle ?
45510 pas à                         ) est pas à elle
45511 est à                         c(e) est à qui , le
45512 pas à                         ) est pas à elle
45514 est à                         ah c(e) est à elle .
45515 est une                        c(e) est une dame , ça
45516 et alors                       et alors elle le laisse s'
45516 alors elle                     et alors elle le laisse s'
45524 fois on                        des fois on la voit le
45527 est un                         elle est un peu perdue .
45528 pas où                        ne sait pas où elle
45528 doit aller                     où elle doit aller .
45534 ben il                         ah ben il ne reste plus
45541 alors il                       alors il va où , l'
45553 petit à                       s' approcher petit à petit
45555 tombent ou                     miettes qui tombent ou qu'
45557 est un                         il est un peu peureux .
45561 ben oui                        ah ben oui .
45585 deux ans                       deux ans ?
45586 deux ans                       appelle pas deux ans .
45597 comment il                     comment il s' appelle ?
45599 est un                         mais c(e) est un petit
45600 est un                         si c(e) est un petit
45601 comment il                     comment il va s' appeler ?
45605 comment il                     sarah , comment il s'
45606 comment il                     comment il s' appelle alors ?
45607 est un                         , c(e) est un garçon
45607 comment il                     garçon mais comment il s'
45615 as appelé                     tu l' as appelé girafe .
45619 et on                          petit frère et on (n'
45621 bon ensuite                    bon ensuite .
45624 deux hier                      jusqu' à deux hier .
45628 un et                          un et .
45633 et il                          et il (n' ) y en
45633 pas un                         en a pas un troisième
45638 est avec                       si il est avec sa
45638 maman il                       avec sa maman il (n'
45641 est où                        , il est où ?
45642 loin alors                     il est loin alors .
45648 maman alors                    de sa maman alors .
45650 sont ensemble                  qu' ils sont ensemble .
45658 retrouver on                   de se retrouver on se
45660 pas où                        ne sais pas où il
45664 est avec                       , c(e) est avec papa
45666 est où                        il est où , le petit
45672 fais un                        tu fais un câlin ?
45673 mais il                        oui , mais il ne faut
45674 instant il                     pour l' instant il (n'
45676 pas au                         , mais pas au petit
45680 bon alors                      bon alors c(e) est pimprenelle .
45702 français aussi                français aussi .
45705 pas alors                      ne comprend pas alors .
45706 bon eh                         bon eh on finit de ranger
45711 pas un                         ) a pas un poisson
45712 ben il                         et ben il (n' ) y
45714 sont encore                    ils sont encore dans la mare
45721 aimes ou                       tu les aimes ou tu ne
45729 as été                       t(u) as été à un anniversaire
45734 puis elle                      et puis elle a eu d'
45735 enfants ont                    les petits enfants ont amené
45735 ont amené                     petits enfants ont amené des
45740 étais habillée               tu étais habillée comme ça .
45741 as amené                      et tu as amené tu as
45741 as offert                      amené tu as offert ton
45747 est à                         sais c(e) est à noël
45750 est original                   ouah c(e) est original mais c(e)
45755 est au                         , c(e) est au cou
45760 mais ils                       ah mais ils sont à l'
45760 sont à                        mais ils sont à l'
45763 bien accrochés                ils sont bien accrochés ,
45772 est habillé                   il est habillé pour aller où
