2681 es encore                      oh tu es encore trop petite
2683 veux aller                     que tu veux aller ,
2687 attention anaïs               attention anaïs si je t' assoie
2711 as entendu                     que tu as entendu .
2718 veux un                        tu veux un autre livre ?
2729 antennes hein                  des grandes antennes hein ?
2745 pas envie                      elle a pas envie de
2746 tellement intéressant         c' est tellement intéressant quand
2747 ben on                         oh ben on teste les limites
2747 limites hein                   teste les limites hein .
2749 attention avec                 attention avec ça .
2754 fais avec                      (que) tu fais avec cette
2756 et ensuite                     mhm , et ensuite ?
2760 trouver un                     veux pas trouver un autre
2768 non et                         et non et ben .
2775 cours après                   je te cours après .
2776 ben y                          et ben y a rien faire
2778 allez on                       allez on range .
2791 allez oust                     fille , allez oust .
2792 ben eh                         ben eh .
2797 poisson y                      dans l(e) poisson y avait du
2799 faisait un                     tu faisait un calîn à la
2799 calîn à                      faisait un calîn à la
2804 non on                         non on va le mettre en
2804 en haut                        le mettre en haut le
2809 allez oust                     allez oust .
2814 rouler anaïs                  le faire rouler anaïs hein
2815 hein en                        ai servi hein en café
2817 fais exprès                   ou tu fais exprès .
2818 fais exprès                   tu tu fais exprès .
2820 ballon anaïs                  est le ballon anaïs ?
2821 pas où                        je sais pas où tu l'
2823 mis où                        l' as mis où ?
2826 et oui                         et oui regarde .
2835 ben oui                        ben oui .
2844 attends y                      merci attends y a eu *
2859 rien hein                      a plus rien hein ?
2863 pas un                         c' est pas un vrai ballon
2865 attends où                    attends où il est le ballon
2866 est où                        il est où le ballon .
2868 veux aller                     tu veux aller le chercher ?
2882 allez assise                   allez assise .
2891 comment i(l)                   comment i(l) fait ?
2909 vraiment une                   t(u) es vraiment une chipie toi
2912 cours après                   j(e) te cours après ça
2934 ben oui                        * ben oui mais je t'
2934 dit hier                       ai déjà dit hier que
2935 viens on                       oh viens on va mettre de
2939 plus où                       je sais plus où elle
2943 ben oui                        oh ben oui quand même .
2950 bois un                        tiens bois un coup .
2956 soigner où                    est pour soigner où t(u)
2973 non i(l)                       non i(l) marche pas .
2975 pas hein                       toujours pas hein ?
2978 boit allez                     boit allez repos du guerrier .
2985 non oui                        non oui .
2988 attention hein                 attention hein ?
2996 partout hein                   mis de partout hein ?
3020 et en                          adore ça et en fait
3020 fait anaïs                    et en fait anaïs lui
3021 coup il                        du coup il est vide .
3025 allez assied                   allez assied toi .
